                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3403,                0.76784,                0.94027,                0.86495,                0.79378,                 0.8413,                0.62189,                 1.3703,                0.76133,                0.95498,             0.00049195,             0.00049195,             0.00049195
                     36,                 1.3283,                0.76457,                0.92986,                0.88239,                0.79743,                0.85233,                0.63743,                 1.3628,                 0.7631,                0.95556,             0.00048904,             0.00048904,             0.00048904
                     37,                 1.3123,                0.74704,                0.92684,                0.88118,                0.79345,                0.85255,                0.63291,                 1.3505,                0.75247,                0.94464,             0.00048613,             0.00048613,             0.00048613
                     38,                 1.2958,                0.73714,                  0.929,                0.89832,                0.80154,                0.86156,                 0.6373,                 1.3744,                0.73985,                0.95458,             0.00048322,             0.00048322,             0.00048322
                     39,                 1.3121,                 0.7588,                0.92733,                0.87644,                0.81081,                0.85889,                0.63621,                 1.3507,                0.75449,                0.94992,             0.00048031,             0.00048031,             0.00048031
                     40,                 1.2881,                0.73112,                0.92132,                 0.8914,                 0.8078,                0.86266,                0.64883,                 1.3417,                0.72023,                0.94277,              0.0004774,              0.0004774,              0.0004774
                     41,                 1.2833,                0.71486,                0.92367,                0.88671,                 0.8021,                0.85872,                0.65234,                 1.3471,                0.71827,                0.94766,             0.00047449,             0.00047449,             0.00047449
                     42,                 1.2769,                0.72451,                0.91931,                0.87817,                0.81158,                0.86518,                 0.6508,                 1.3225,                0.71656,                0.94166,             0.00047158,             0.00047158,             0.00047158
                     43,                 1.2997,                0.72362,                0.92487,                0.89049,                0.78646,                0.85665,                0.63831,                 1.3574,                0.72514,                0.95133,             0.00046867,             0.00046867,             0.00046867
                     44,                 1.2834,                0.72084,                0.91967,                0.89039,                0.82508,                0.87029,                0.64358,                  1.354,                0.70528,                0.94661,             0.00046575,             0.00046575,             0.00046575
                     45,                 1.2567,                0.70085,                 0.9172,                0.89815,                0.82013,                0.86795,                0.65162,                  1.323,                0.71965,                0.94379,             0.00046284,             0.00046284,             0.00046284
                     46,                 1.2609,                0.70062,                 0.9136,                0.87125,                 0.8198,                0.86952,                0.64029,                 1.3352,                0.70258,                0.93764,             0.00045993,             0.00045993,             0.00045993
                     47,                 1.2322,                0.68462,                0.91481,                0.88891,                0.81779,                 0.8655,                0.65643,                 1.3105,                0.69665,                 0.9357,             0.00045702,             0.00045702,             0.00045702
                     48,                 1.2559,                0.69651,                0.91641,                0.88502,                0.79668,                0.86655,                0.65181,                  1.305,                 0.6989,                0.93563,             0.00045411,             0.00045411,             0.00045411
                     49,                 1.2729,                0.69512,                0.91614,                0.90446,                0.82035,                0.87225,                0.64944,                 1.3044,                0.68948,                0.93441,              0.0004512,              0.0004512,              0.0004512
                     50,                 1.2506,                0.67691,                0.91019,                0.90206,                0.81611,                0.87412,                0.66499,                 1.3047,                0.67999,                0.93246,             0.00044829,             0.00044829,             0.00044829
                     51,                 1.2216,                0.66583,                0.90847,                0.91503,                0.80562,                0.87382,                0.65183,                 1.3089,                0.68188,                0.93046,             0.00044538,             0.00044538,             0.00044538
                     52,                 1.2002,                0.65175,                0.89721,                0.89839,                0.83756,                0.88213,                0.67621,                 1.2764,                0.65467,                0.92324,             0.00044247,             0.00044247,             0.00044247
                     53,                 1.2216,                0.66964,                0.89971,                0.90653,                0.82202,                0.87362,                 0.6687,                 1.2984,                0.67113,                0.93324,             0.00043956,             0.00043956,             0.00043956
                     54,                 1.2364,                0.66575,                0.90184,                0.88864,                0.83551,                0.88203,                0.66627,                 1.2888,                 0.6662,                0.92644,             0.00043665,             0.00043665,             0.00043665
                     55,                 1.1925,                0.64359,                0.89665,                0.90743,                0.83243,                0.88078,                0.67087,                 1.2746,                0.65732,                0.92031,             0.00043374,             0.00043374,             0.00043374
                     56,                 1.2138,                0.65241,                0.90026,                0.90789,                0.83012,                0.88728,                 0.6759,                 1.2731,                0.65294,                0.91975,             0.00043083,             0.00043083,             0.00043083
                     57,                 1.1898,                0.64144,                0.89523,                0.91802,                0.83454,                0.88702,                0.68548,                 1.2571,                0.63209,                0.91764,             0.00042792,             0.00042792,             0.00042792
                     58,                 1.1967,                0.63713,                0.89388,                0.91417,                  0.835,                0.88981,                0.67265,                 1.2726,                 0.6422,                0.92151,             0.00042501,             0.00042501,             0.00042501
                     59,                 1.1935,                0.63748,                0.88952,                0.89801,                0.84226,                0.88466,                0.67768,                 1.2595,                0.62875,                0.91811,              0.0004221,              0.0004221,              0.0004221
                     60,                 1.1775,                0.63093,                0.89404,                0.89321,                0.84725,                 0.8842,                0.67906,                 1.2578,                0.65259,                0.92354,             0.00041919,             0.00041919,             0.00041919
                     61,                 1.1816,                0.63033,                0.89255,                0.89575,                0.85196,                0.89748,                0.68613,                 1.2382,                0.62775,                0.91545,             0.00041627,             0.00041627,             0.00041627
                     62,                 1.1543,                0.61114,                0.88597,                0.90012,                0.85144,                0.89627,                0.68556,                 1.2478,                0.63061,                0.91679,             0.00041336,             0.00041336,             0.00041336
                     63,                 1.1555,                0.61385,                0.88586,                0.91865,                0.84703,                0.89886,                0.68813,                 1.2367,                0.61516,                0.91209,             0.00041045,             0.00041045,             0.00041045
                     64,                 1.1488,                0.61531,                0.88535,                0.89615,                 0.8482,                 0.8907,                 0.6723,                 1.2512,                0.62132,                0.91482,             0.00040754,             0.00040754,             0.00040754
                     65,                 1.1479,                0.60415,                 0.8853,                0.90642,                0.85129,                0.90212,                0.69111,                   1.24,                 0.6116,                0.91201,             0.00040463,             0.00040463,             0.00040463
                     66,                 1.1283,                0.59355,                0.88022,                0.93939,                0.84656,                0.89989,                 0.6904,                 1.2347,                0.61555,                0.91258,             0.00040172,             0.00040172,             0.00040172
                     67,                 1.1473,                0.60759,                0.88521,                0.90617,                0.86164,                0.90119,                0.69148,                 1.2384,                0.60253,                0.91644,             0.00039881,             0.00039881,             0.00039881
                     68,                 1.1444,                0.60598,                0.88071,                0.89466,                 0.8611,                0.89824,                0.68736,                 1.2375,                0.61216,                0.91343,              0.0003959,              0.0003959,              0.0003959
                     69,                 1.1769,                0.61897,                0.88499,                0.92483,                0.85242,                0.90289,                0.69296,                 1.2383,                0.60468,                0.91251,             0.00039299,             0.00039299,             0.00039299
                     70,                 1.1369,                0.59756,                0.87939,                0.92312,                  0.858,                 0.9016,                0.69193,                 1.2306,                0.60904,                0.91116,             0.00039008,             0.00039008,             0.00039008
                     71,                 1.1406,                0.59523,                0.88288,                0.90876,                0.84736,                0.90282,                 0.6925,                 1.2351,                0.60405,                 0.9141,             0.00038717,             0.00038717,             0.00038717
                     72,                 1.1329,                0.59774,                0.87387,                0.93143,                0.84937,                0.90505,                0.69706,                 1.2252,                0.59137,                0.91033,             0.00038426,             0.00038426,             0.00038426
                     73,                 1.1167,                0.59026,                0.87652,                0.92681,                0.84351,                0.90005,                0.69945,                 1.2162,                0.60142,                0.90711,             0.00038135,             0.00038135,             0.00038135
                     74,                 1.1244,                0.59238,                0.87725,                  0.906,                  0.853,                0.89654,                0.69192,                 1.2135,                0.59811,                0.90498,             0.00037844,             0.00037844,             0.00037844
                     75,                 1.1164,                 0.5804,                0.87396,                 0.9112,                0.85725,                 0.9015,                0.70203,                  1.195,                0.58958,                0.90293,             0.00037553,             0.00037553,             0.00037553
